SubjectID,VideoID,Timestamp_sec,SubjectID.1,VideoID.1,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,predefined,userdefined,True_Label,Predicted_Prob_default,Predicted_Label_default,Predicted_Prob_tuned,Predicted_Label_tuned
2.0,7.0,33.5,2.0,7.0,60.0,64.0,48.0,11037.0,13032.0,9603.0,2373.0,5519.0,9450.0,5367.0,2922.0,1.0,1.0,1,0.80956376,1,0.9995762,1
6.0,8.0,39.5,6.0,8.0,0.0,0.0,764.0,825445.0,182559.0,16834.0,398141.0,123056.0,58340.0,109730.0,76002.0,1.0,1.0,1,0.8383872,1,0.9854412,1
4.0,6.0,10.5,4.0,6.0,69.0,66.0,134.0,20653.0,6493.0,11179.0,9735.0,4621.0,29589.0,4975.0,13131.0,1.0,1.0,1,0.4837555,1,0.9127699,1
9.0,5.0,4.0,9.0,5.0,24.0,50.0,66.0,648194.0,1330245.0,267504.0,396815.0,126689.0,101673.0,239069.0,81732.0,1.0,1.0,1,0.5654478,1,0.927356,1
8.0,5.0,50.5,8.0,5.0,30.0,70.0,-7.0,351226.0,36947.0,32850.0,67041.0,10060.0,23286.0,5425.0,9774.0,1.0,1.0,1,0.7353365,1,0.99974597,1
8.0,4.0,21.0,8.0,4.0,50.0,47.0,-1.0,2390201.0,144270.0,34536.0,60716.0,41938.0,21231.0,11898.0,11071.0,0.0,1.0,1,0.77963376,1,0.99499595,1
8.0,9.0,8.5,8.0,9.0,40.0,37.0,-40.0,760466.0,141110.0,39902.0,25553.0,21220.0,20811.0,16436.0,6310.0,1.0,1.0,1,0.69370395,1,0.98030186,1
9.0,4.0,51.5,9.0,4.0,34.0,26.0,91.0,854011.0,210397.0,7757.0,17965.0,49818.0,26366.0,14912.0,4713.0,0.0,1.0,1,0.5340609,1,0.93350327,1
5.0,1.0,11.0,5.0,1.0,61.0,53.0,120.0,1122537.0,106293.0,23457.0,13351.0,35881.0,14459.0,6403.0,3139.0,0.0,1.0,1,0.69986445,1,0.97207826,1
5.0,8.0,20.5,5.0,8.0,38.0,40.0,1.0,685376.0,449163.0,2769.0,25623.0,21693.0,10284.0,3184.0,4589.0,1.0,1.0,1,0.6667205,1,0.6874472,1
7.0,5.0,27.5,7.0,5.0,23.0,29.0,-4.0,737425.0,153728.0,20785.0,27971.0,23029.0,24922.0,52187.0,21430.0,1.0,1.0,1,0.6604182,1,0.77725106,1
5.0,3.0,34.5,5.0,3.0,30.0,53.0,-56.0,1085561.0,218233.0,66962.0,50223.0,33958.0,13050.0,6482.0,6226.0,0.0,1.0,1,0.630884,1,0.7205231,1
4.0,3.0,13.5,4.0,3.0,29.0,23.0,34.0,211892.0,51869.0,31728.0,5757.0,7320.0,6454.0,5977.0,2507.0,0.0,1.0,1,0.65845877,1,0.9224677,1
9.0,3.0,34.5,9.0,3.0,27.0,54.0,276.0,167128.0,29840.0,5238.0,4609.0,1686.0,11179.0,5733.0,429.0,0.0,1.0,1,0.22537744,0,0.9704265,1
2.0,4.0,45.5,2.0,4.0,64.0,48.0,28.0,1486.0,10457.0,1154.0,5395.0,17815.0,20157.0,12464.0,5579.0,0.0,1.0,1,0.97398704,1,0.99987924,1
9.0,5.0,57.5,9.0,5.0,54.0,48.0,-3.0,191120.0,20416.0,204.0,247.0,2253.0,3926.0,14902.0,1565.0,1.0,1.0,1,0.64758897,1,0.8688233,1
1.0,1.0,47.0,1.0,1.0,57.0,53.0,-2.0,256321.0,130331.0,34822.0,9796.0,16492.0,33625.0,4707.0,4028.0,0.0,1.0,1,0.66227365,1,0.9926756,1
9.0,0.0,35.0,9.0,0.0,47.0,41.0,280.0,72701.0,117097.0,5648.0,47085.0,12475.0,19894.0,9975.0,1999.0,0.0,1.0,1,0.61443937,1,0.74817425,1
1.0,3.0,24.0,1.0,3.0,20.0,29.0,21.0,290361.0,63471.0,8878.0,27964.0,3281.0,12645.0,6732.0,1888.0,0.0,1.0,1,0.67429674,1,0.6473119,1
9.0,3.0,26.0,9.0,3.0,41.0,64.0,25.0,1987958.0,246049.0,205407.0,140696.0,51982.0,45854.0,73864.0,11666.0,0.0,1.0,1,0.594659,1,0.490052,1
8.0,4.0,22.5,8.0,4.0,64.0,63.0,60.0,328964.0,8913.0,11150.0,4644.0,10898.0,3081.0,4431.0,808.0,0.0,1.0,1,0.8978193,1,0.9997894,1
5.0,2.0,27.0,5.0,2.0,69.0,56.0,186.0,1283114.0,98699.0,53108.0,57403.0,15828.0,27544.0,22838.0,2056.0,0.0,1.0,1,0.709599,1,0.9862886,1
3.0,8.0,20.5,3.0,8.0,60.0,66.0,20.0,875311.0,122148.0,31542.0,9773.0,8076.0,10885.0,4139.0,2425.0,1.0,1.0,1,0.64242387,1,0.89328706,1
2.0,7.0,38.0,2.0,7.0,14.0,60.0,33.0,13912.0,41802.0,11338.0,9212.0,9941.0,6557.0,2447.0,2422.0,1.0,1.0,1,0.3522453,0,0.9957718,1
4.0,3.0,53.0,4.0,3.0,21.0,29.0,-13.0,255790.0,210126.0,65683.0,31459.0,19476.0,16262.0,6391.0,5300.0,0.0,1.0,1,0.64774996,1,0.714046,1
